Subject,Course Number,Section Number,Class Number,M,T,W,Th,F,Sa,Su,Departmental Approval,Max Enroll
CSE,3315,1,81051,N,Y,N,Y,N,N,N,N,65
CSE,3315,2,85792,N,Y,N,Y,N,N,N,N,65
CSE,3315,3,89807,Y,N,Y,N,N,N,N,N,50
CSE,3320,1,81052,Y,N,Y,N,N,N,N,N,50
CSE,3320,2,88216,Y,N,Y,N,N,N,N,N,45
CSE,3320,3,89801,Y,N,Y,N,N,N,N,N,40
CSE,3323,1,84960,Y,N,N,N,N,N,N,N,32
CSE,3323,2,85155,N,N,N,N,N,N,N,N,32
CSE,3330,1,88260,Y,N,Y,N,N,N,N,N,45
CSE,3330,2,89215,N,Y,N,Y,N,N,N,N,40
CSE,3380,1,84420,N,Y,N,Y,N,N,N,N,40
CSE,3442,1,86947,N,Y,N,Y,N,N,N,Y,30
CSE,3442,2,86948,Y,N,N,N,N,N,N,N,15
CSE,3442,3,86949,N,N,Y,N,N,N,N,N,15
CSE,4191,1,81053,N,N,N,N,N,N,N,Y,10
CSE,4191,2,89848,N,Y,N,Y,N,N,N,N,1
CSE,4191,9,89822,,,,,,,,N,1
CSE,4303,1,86575,N,Y,N,Y,N,N,N,N,40
CSE,4308,1,88694,Y,N,Y,N,N,N,N,N,40
CSE,4309,1,87773,N,Y,N,Y,N,N,N,N,40
CSE,4314,1,88308,N,Y,N,N,N,N,N,Y,45
CSE,4314,2,88309,N,Y,N,Y,N,N,N,Y,45
CSE,4316,1,81055,Y,N,Y,N,Y,N,N,N,30
CSE,4316,2,81056,N,N,N,N,Y,N,N,N,30
CSE,4316,3,86878,N,Y,N,Y,N,N,N,N,30
CSE,4316,4,86879,N,N,N,N,Y,N,N,N,30
CSE,4316,5,86880,N,Y,N,Y,N,N,N,N,30
CSE,4316,6,86881,N,N,N,N,Y,N,N,N,30
CSE,4316,7,89411,Y,N,Y,N,Y,N,N,Y,30
CSE,4316,8,89412,N,N,N,N,Y,N,N,N,30
CSE,4317,1,81057,N,Y,N,Y,N,N,N,Y,30
CSE,4317,2,81058,N,N,N,N,Y,N,N,Y,30
CSE,4317,3,87774,Y,N,Y,N,Y,N,N,Y,30
CSE,4317,4,87775,N,N,N,N,Y,N,N,N,30
CSE,4321,1,85705,N,Y,N,Y,N,N,N,N,45
CSE,4322,1,88314,N,Y,N,Y,N,N,N,N,45
CSE,4323,1,81059,N,Y,N,Y,N,N,N,N,30
CSE,4331,1,88412,N,Y,N,Y,N,N,N,N,2
CSE,4334,1,85816,N,Y,N,Y,N,N,N,N,45
CSE,4344,1,87028,N,Y,N,Y,N,N,N,N,45
CSE,4344,2,89319,N,Y,N,Y,N,N,N,N,45
